"id","nome_interno","nome_paciente","modalidade","regiao","contraste","lado","detalhe","convenio","exibir","revisar"
"28","DO (1) - (DENSITOMETRIA OSSEA) - COLUNA LOMBAR | DO (2) - (DENSITOMETRIA OSSEA) - COLUNA LOMBAR E FEMUR","Densitometria Óssea","DENSITOMETRIA","Coluna Lombar","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: DO (1) - (DENSITOMETRIA OSSEA) - COLUNA LOMBAR; DO (2) - (DENSITOMETRIA OSSEA) - COLUNA LOMBAR E FEMUR"
"29","DO (1) - (DENSITOMETRIA OSSEA) - FEMUR","Densitometria Óssea","DENSITOMETRIA","Coxa","","","","","SIM",""
"30","DENSITOMETRIA AVALIAÇÃO CORPORAL | DENSITOMETRIA CORPO INTEIRO","Densitometria Óssea Corpo Inteiro","DENSITOMETRIA","Corpo Inteiro","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: DENSITOMETRIA AVALIAÇÃO CORPORAL; DENSITOMETRIA CORPO INTEIRO"
"31","ABDOME INFERIOR MASCULINO","ECO Abdome Inferior (Pelve)","ECO","Abdome Inferior (Pelve)","","","masculino","","SIM",""
"32","ECO ABDOME INFERIOR FEMININO - (BEXIGA, ÚTERO, OVÁRIO E ANEXOS) | ABDOME INFERIOR FEMININO","ECO Abdome Inferior (Pelve)","ECO","Abdome Inferior (Pelve)","","","feminino","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECO ABDOME INFERIOR FEMININO - (BEXIGA, ÚTERO, OVÁRIO E ANEXOS); ABDOME INFERIOR FEMININO"
"33","ABDOMINAL SUPERIOR","ECO Abdome Superior","ECO","Abdome Superior","","","","","SIM",""
"34","ABDOMINAL TOTAL | ECO ABDOMEN TOTAL (ABDOMEN SUPERIOR, RINS, PERITONIO E BEXIGA, PELVE)","ECO Abdome Total","ECO","Abdome Total","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ABDOMINAL TOTAL; ECO ABDOMEN TOTAL (ABDOMEN SUPERIOR, RINS, PERITONIO E BEXIGA, PELVE)"
"35","ECO ABDOMEN TOTAL PESQUISA DE REFLUXO (ABDOMEN SUPERIOR, RINS, PERITONIO E BEXIGA, PELVE)","ECO Abdome Total","ECO","Abdome Total","","","pesquisa de refluxo","","SIM",""
"36","ECO ANTEBRAÇO DIREITO","ECO Antebraço","ECO","Antebraço","","DIREITO","","","SIM",""
"37","ECO ANTEBRAÇO ESQUERDO","ECO Antebraço","ECO","Antebraço","","ESQUERDO","","","SIM",""
"38","APARELHO URINARIO FEMININO | ECO APARELHO URINARIO FEMININO (RINS, URETERES E BEXIGA)","ECO Aparelho Urinário (Rins)","ECO","Aparelho Urinário (Rins)","","","feminino","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: APARELHO URINARIO FEMININO; ECO APARELHO URINARIO FEMININO (RINS, URETERES E BEXIGA)"
"39","APARELHO URINARIO | APARELHO URINARIO MASCFEM | APARELHO URINARIO MASCFEMUNIMED | ECO APARELHO URINARIO (RINS, URETERES E BEXIGA)","ECO Aparelho Urinário (Rins)","ECO","Aparelho Urinário (Rins)","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: APARELHO URINARIO; APARELHO URINARIO MASCFEM; APARELHO URINARIO MASCFEMUNIMED; ECO APARELHO URINARIO (RINS, URETERES E BEXIGA)"
"40","ECO APARELHO URINARIO MASCULINO (RINS, URETERES, BEXIGA E PROSTATA) | APARELHO URINARIO MASCULINO","ECO Aparelho Urinário (Rins)","ECO","Aparelho Urinário (Rins)","","","masculino","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECO APARELHO URINARIO MASCULINO (RINS, URETERES, BEXIGA E PROSTATA); APARELHO URINARIO MASCULINO"
"41","ARTICULACOES","ECO Articulação","ECO","Articulação","","","","","SIM",""
"42","ECO REGIAO AXILAR BILATERAL","ECO Axilas","ECO","Axilas","","BILATERAL","","","SIM",""
"43","ECO REGIAO AXILAR DIREITA","ECO Axilas","ECO","Axilas","","DIREITO","","","SIM",""
"44","ECO REGIAO AXILAR ESQUERDA","ECO Axilas","ECO","Axilas","","ESQUERDO","","","SIM",""
"45","ESTRUTURAS SUPERFICIAIS CERV AXILAS MUSC TENDAO","ECO Axilas","ECO","Axilas","","","","","SIM",""
"46","BOLSA ESCROTAL | ECO BOLSA ESCROTAL (TESTICULAR)","ECO Bolsa Escrotal (Testículos)","ECO","Bolsa Escrotal (Testículos)","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: BOLSA ESCROTAL; ECO BOLSA ESCROTAL (TESTICULAR)"
"47","ECO BRAÇO DIREITO | ECO TRICEPS DIREITO","ECO Braço","ECO","Braço","","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECO BRAÇO DIREITO; ECO TRICEPS DIREITO"
"48","ECO BRAÇO ESQUERDO | ECO TRICEPS ESQUERDO","ECO Braço","ECO","Braço","","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECO BRAÇO ESQUERDO; ECO TRICEPS ESQUERDO"
"49","ECO COTOVELO DIREITO (PARTES MOLES/MUSCULO)","ECO Cotovelo","ECO","Cotovelo","","DIREITO","","","SIM",""
"50","ECO COTOVELO ESQUERDO (PARTES MOLES/MUSCULO)","ECO Cotovelo","ECO","Cotovelo","","ESQUERDO","","","SIM",""
"51","ECO COURO CABELUDO","ECO Couro Cabeludo","ECO","Couro Cabeludo","","","","","SIM",""
"52","ECO COXA DIREITA (QUADRICEPS)","ECO Coxa","ECO","Coxa","","DIREITO","","","SIM",""
"53","ECO COXA ESQUERDA (QUADRICEPS)","ECO Coxa","ECO","Coxa","","ESQUERDO","","","SIM",""
"54","ECO REGIAO OCCIPITAL (POSTERIOR CRANIO / ACIMA NUCA)","ECO Crânio","ECO","Crânio","","","","","SIM",""
"55","CRANIANA | ECOGRAFIA TRANSCRANIANA TRANSFONTANELA | ECO CRANIO PARA CRIANÇA (CEREBRAL OU TRANSFONTANELAR)","ECO Crânio (Transfontanela)","ECO","Crânio (Transfontanela)","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: CRANIANA; ECOGRAFIA TRANSCRANIANA TRANSFONTANELA; ECO CRANIO PARA CRIANÇA (CEREBRAL OU TRANSFONTANELAR)"
"56","ECO DEDO DIREITO (PARTES MOLES/MUSCULO)","ECO Dedo da Mão","ECO","Dedo da Mão","","DIREITO","","","SIM",""
"57","ECO DEDO ESQUERDO (PARTES MOLES/MUSCULO)","ECO Dedo da Mão","ECO","Dedo da Mão","","ESQUERDO","","","SIM",""
"58","ABDOMINAL SUPERIOR COM DOPPLER","ECO Doppler Abdome Superior","ECO","Abdome Superior","","","","","SIM",""
"59","ABDOMINAL TOTAL COM DOPPLER | ECODOPPLER ABDOMEN TOTAL (ABDOMEN SUPERIOR, RINS, PERITONIO, PELVE E BEXIGA) | ECODOPPLER ABDOMEN TOTAL E PELVE","ECO Doppler Abdome Total","ECO","Abdome Total","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ABDOMINAL TOTAL COM DOPPLER; ECODOPPLER ABDOMEN TOTAL (ABDOMEN SUPERIOR, RINS, PERITONIO, PELVE E BEXIGA); ECODOPPLER ABDOMEN TOTAL E PELVE"
"60","ECODOPPLER ANTEBRAÇO DIREITO","ECO Doppler Antebraço","ECO","Antebraço","","DIREITO","","","SIM",""
"61","ECODOPPLER ANTEBRAÇO ESQUERDO","ECO Doppler Antebraço","ECO","Antebraço","","ESQUERDO","","","SIM",""
"62","DOPPLER COLORIDO AORTA E ARTERIAS RENAIS | ECODOPPLER AORTA E ARTERIAS RENAIS | ECODOPPLER AORTA E ILIACAS | DOPPLER DE AORTA COLORIDO | DOPPLER COLORIDO DE AORTA E ILIACAS","ECO Doppler Aorta","ECO","Aorta","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: DOPPLER COLORIDO AORTA E ARTERIAS RENAIS; ECODOPPLER AORTA E ARTERIAS RENAIS; ECODOPPLER AORTA E ILIACAS; DOPPLER DE AORTA COLORIDO; DOPPLER COLORIDO DE AORTA E ILIACAS"
"63","APARELHO URINARIO COM DOPPLER","ECO Doppler Aparelho Urinário (Rins)","ECO","Aparelho Urinário (Rins)","","","","","SIM",""
"64","ECODOPPLER APARELHO URINARIO FEMININO","ECO Doppler Aparelho Urinário (Rins)","ECO","Aparelho Urinário (Rins)","","","feminino","","SIM",""
"65","ECODOPPLER APARELHO URINARIO MASCULINO","ECO Doppler Aparelho Urinário (Rins)","ECO","Aparelho Urinário (Rins)","","","masculino","","SIM",""
"66","ARTICULACOES COM DOPPLER","ECO Doppler Articulação","ECO","Articulação","","","","","SIM",""
"67","DOPPLER COLORIDO DE ARTERIAS VISCERAIS | ECODOPPLER DAS ARTÉRIAS VISCERAIS (MESENTÉRICAS SUPERIOR E INFERIOR E TRONCO CELÍAC","ECO Doppler Artérias Abdominais","ECO","Artérias Abdominais","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: DOPPLER COLORIDO DE ARTERIAS VISCERAIS; ECODOPPLER DAS ARTÉRIAS VISCERAIS (MESENTÉRICAS SUPERIOR E INFERIOR E TRONCO CELÍAC"
"68","ECODOPPLER REGIAO AXILAR (BILATERAL)","ECO Doppler Axilas","ECO","Axilas","","BILATERAL","","","SIM",""
"69","ECODOPPLER REGIAO AXILAR DIREITA","ECO Doppler Axilas","ECO","Axilas","","DIREITO","","","SIM",""
"70","ECODOPPLER REGIAO AXILAR ESQUERDA","ECO Doppler Axilas","ECO","Axilas","","ESQUERDO","","","SIM",""
"71","ECODOPPLER PELVICO (BEXIGA, ÚTERO, OVÁRIOS, ANEXOS)","ECO Doppler Bexiga","ECO","Bexiga","","","","","SIM",""
"72","ECODOPPLER BOLSA ESCROTAL (TESTICULAR) | BOLSA ESCROTAL C/ DOPPLER","ECO Doppler Bolsa Escrotal (Testículos)","ECO","Bolsa Escrotal (Testículos)","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECODOPPLER BOLSA ESCROTAL (TESTICULAR); BOLSA ESCROTAL C/ DOPPLER"
"73","ECODOPPLER BRAÇO DIREITO","ECO Doppler Braço","ECO","Braço","","DIREITO","","","SIM",""
"74","ECODOPPLER BRAÇO ESQUERDO","ECO Doppler Braço","ECO","Braço","","ESQUERDO","","","SIM",""
"75","DOPPLER COLORIDO ARTERIAL MEMBRO SUPERIOR UNILATERAL","ECO Doppler Braço (Membro Superior)","ECO","Braço (Membro Superior)","","UNILATERAL","arterial","","SIM",""
"76","DOPPLER COLORIDO VENOSO MEMBRO SUPERIOR UNILATERAL","ECO Doppler Braço (Membro Superior)","ECO","Braço (Membro Superior)","","UNILATERAL","venoso","","SIM",""
"77","ECODOPPLER ARTERIAL MEMBRO SUPERIOR DIREITO","ECO Doppler Braço (Membro Superior)","ECO","Braço (Membro Superior)","","DIREITO","arterial","","SIM",""
"78","ECODOPPLER ARTERIAL MEMBRO SUPERIOR ESQUERDO","ECO Doppler Braço (Membro Superior)","ECO","Braço (Membro Superior)","","ESQUERDO","arterial","","SIM",""
"79","ECODOPPLER VENOSO MEMBRO SUPERIOR DIREITO","ECO Doppler Braço (Membro Superior)","ECO","Braço (Membro Superior)","","DIREITO","venoso","","SIM",""
"80","ECODOPPLER VENOSO MEMBRO SUPERIOR ESQUERDO","ECO Doppler Braço (Membro Superior)","ECO","Braço (Membro Superior)","","ESQUERDO","venoso","","SIM",""
"81","DOPPLER CAROTIDAS COLORIDO | DOPPLER COLORIDO DE CAROTIDAS E VERTEBRAIS | ECODOPPLER CAROTIDAS E VERTEBRAIS (VASOS CERVICAIS) | ECODOPPLER SUBCLAVIAS E JUGULARES (VASOS CERVICAIS) | DOPPLER COLORIDO VASOS CERVICAIS SUBCLAVIA E JUGULARES | DOPPLER DE CAROTIDAS(NAO INCLUI VERTEBRAIS) | DOPPLER VERTEBRAIS(NAO INCLUI CAROTIDAS)","ECO Doppler Carótidas e Vertebrais","ECO","Carótidas e Vertebrais","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: DOPPLER CAROTIDAS COLORIDO; DOPPLER COLORIDO DE CAROTIDAS E VERTEBRAIS; ECODOPPLER CAROTIDAS E VERTEBRAIS (VASOS CERVICAIS); ECODOPPLER SUBCLAVIAS E JUGULARES (VASOS CERVICAIS); DOPPLER COLORIDO VASOS CERVICAIS SUBCLAVIA E JUGULARES; DOPPLER DE CAROTIDAS(NAO INCLUI VERTEBRAIS); DOPPLER VERTEBRAIS(NAO INCLUI CAROTIDAS)"
"82","DOPPLER COLORIDO DE VASOS CERVICAIS ARTERIAL BILATERAL","ECO Doppler Carótidas e Vertebrais","ECO","Carótidas e Vertebrais","","BILATERAL","arterial","","SIM",""
"83","ECODOPPLER COTOVELO DIREITO (PARTES MOLES/MUSCULO)","ECO Doppler Cotovelo","ECO","Cotovelo","","DIREITO","","","SIM",""
"84","ECODOPPLER COTOVELO ESQUERDO (PARTES MOLES/MUSCULO)","ECO Doppler Cotovelo","ECO","Cotovelo","","ESQUERDO","","","SIM",""
"85","ECODOPPLER COURO CABELUDO","ECO Doppler Couro Cabeludo","ECO","Couro Cabeludo","","","","","SIM",""
"86","ECODOPPLER COXA DIREITA(QUADRICEPS)","ECO Doppler Coxa","ECO","Coxa","","DIREITO","","","SIM",""
"87","ECODOPPLER COXA ESQUERDA (CADRICEPS)","ECO Doppler Coxa","ECO","Coxa","","ESQUERDO","","","SIM",""
"88","CRANIANA COM DOPPLER | DOPPLER TRANSCRANIANO/TRANSFONTANELA | ECODOPPLER TRANSFONTANELA","ECO Doppler Crânio (Transfontanela)","ECO","Crânio (Transfontanela)","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: CRANIANA COM DOPPLER; DOPPLER TRANSCRANIANO/TRANSFONTANELA; ECODOPPLER TRANSFONTANELA"
"89","ECODOPPLER FACE DIREITA","ECO Doppler Face / Seios da Face","ECO","Face / Seios da Face","","DIREITO","","","SIM",""
"90","ECODOPPLER FACE ESQUERDA","ECO Doppler Face / Seios da Face","ECO","Face / Seios da Face","","ESQUERDO","","","SIM",""
"91","ECODOPPLER GLANDULAS PAROTIDAS | ECODOPPLER GLANDULAS SALIVARES (TODAS)","ECO Doppler Glândulas Salivares","ECO","Glândulas Salivares","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECODOPPLER GLANDULAS PAROTIDAS; ECODOPPLER GLANDULAS SALIVARES (TODAS)"
"92","ECODOPPLER REGIAO GLUTEA DIREITA","ECO Doppler Glúteo","ECO","Glúteo","","DIREITO","","","SIM",""
"93","ECODOPPLER REGIAO GLUTEA ESQUERDA","ECO Doppler Glúteo","ECO","Glúteo","","ESQUERDO","","","SIM",""
"94","ECODOPPLER JOELHO DIREITO","ECO Doppler Joelho","ECO","Joelho","","DIREITO","","","SIM",""
"95","ECODOPPLER JOELHO ESQUERDO","ECO Doppler Joelho","ECO","Joelho","","ESQUERDO","","","SIM",""
"96","ECODOPPLER MAMARIO","ECO Doppler Mamas","ECO","Mamas","","","","","SIM",""
"97","DOPPLER ARTERIAL COLORIDO POR MEMBRO","ECO Doppler Membro (Braço ou Perna)","ECO","Membro (Braço ou Perna)","","UNILATERAL","arterial","","SIM",""
"98","DOPPLER VENOSO COLORIDO POR MEMBRO","ECO Doppler Membro (Braço ou Perna)","ECO","Membro (Braço ou Perna)","","UNILATERAL","venoso","","SIM",""
"99","DOPPLER VENOSO E ARTERIAL COLORIDO POR MEMBRO","ECO Doppler Membro (Braço ou Perna)","ECO","Membro (Braço ou Perna)","","UNILATERAL","arterial, venoso","","SIM",""
"100","ECODOPPLER MAO DIREITA","ECO Doppler Mão","ECO","Mão","","DIREITO","","","SIM",""
"101","ECODOPPLER MAO ESQUERDA","ECO Doppler Mão","ECO","Mão","","ESQUERDO","","","SIM",""
"102","ECODOPPLER OBSTETRICO | OBSTETRICA COM DOPPLER","ECO Doppler Obstétrica (Gestação)","ECO","Obstétrica (Gestação)","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECODOPPLER OBSTETRICO; OBSTETRICA COM DOPPLER"
"103","OBSTETRICA COM DOPPLER GEST. MULTIPLA | ECODOPPLER OBSTETRICO GESTACAO MULTIPLA (CADA FETO)","ECO Doppler Obstétrica (Gestação)","ECO","Obstétrica (Gestação)","","","gestação múltipla","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: OBSTETRICA COM DOPPLER GEST. MULTIPLA; ECODOPPLER OBSTETRICO GESTACAO MULTIPLA (CADA FETO)"
"104","OBSTETRICA GEMELAR C/DOPPLER","ECO Doppler Obstétrica (Gestação)","ECO","Obstétrica (Gestação)","","","gemelar","","SIM",""
"105","ECODOPPLER REGIAO SUPRACLAVICULAR DIREITA (MUSCULO) | ECODOPPLER OMBRO DIREITO","ECO Doppler Ombro","ECO","Ombro","","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECODOPPLER REGIAO SUPRACLAVICULAR DIREITA (MUSCULO); ECODOPPLER OMBRO DIREITO"
"106","ECODOPPLER REGIAO SUPRACLAVICULAR ESQUERDA (MUSCULO) | ECODOPPLER OMBRO ESQUERDO","ECO Doppler Ombro","ECO","Ombro","","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECODOPPLER REGIAO SUPRACLAVICULAR ESQUERDA (MUSCULO); ECODOPPLER OMBRO ESQUERDO"
"107","ECODOPPLER PAREDE ABDOMINAL","ECO Doppler Parede Abdominal","ECO","Parede Abdominal","","","","","SIM",""
"108","DOPPLER COLORIDO ARTERIAL MEMBRO INFERIOR UNILATERAL","ECO Doppler Perna (Membro Inferior)","ECO","Perna (Membro Inferior)","","UNILATERAL","arterial","","SIM",""
"109","DOPPLER COLORIDO VENOSO MEMBRO INFERIOR UNILATERAL","ECO Doppler Perna (Membro Inferior)","ECO","Perna (Membro Inferior)","","UNILATERAL","venoso","","SIM",""
"110","ECODOPPLER ARTERIAL MEMBRO INFERIOR DIREITO","ECO Doppler Perna (Membro Inferior)","ECO","Perna (Membro Inferior)","","DIREITO","arterial","","SIM",""
"111","ECODOPPLER ARTERIAL MEMBRO INFERIOR ESQUERDO","ECO Doppler Perna (Membro Inferior)","ECO","Perna (Membro Inferior)","","ESQUERDO","arterial","","SIM",""
"112","ECODOPPLER VENOSO MEMBRO INFERIOR DIREITO","ECO Doppler Perna (Membro Inferior)","ECO","Perna (Membro Inferior)","","DIREITO","venoso","","SIM",""
"113","ECODOPPLER VENOSO MEMBRO INFERIOR ESQUERDO","ECO Doppler Perna (Membro Inferior)","ECO","Perna (Membro Inferior)","","ESQUERDO","venoso","","SIM",""
"114","ECODOPPLER REGIAO CERVICAL","ECO Doppler Pescoço","ECO","Pescoço","","","","","SIM",""
"115","PROSTATA COM DOPPLER | ECODOPPLER PROSTATA","ECO Doppler Próstata","ECO","Próstata","","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: PROSTATA COM DOPPLER; ECODOPPLER PROSTATA"
"116","ECODOPPLER PUNHO DIREITO","ECO Doppler Punho","ECO","Punho","","DIREITO","","","SIM",""
"117","ECODOPPLER PUNHO ESQUERDO","ECO Doppler Punho","ECO","Punho","","ESQUERDO","","","SIM",""
"118","ECODOPPLER PE DIREITO | ECODOPPLER ANTEPE DIREITO | ECODOPPLER CALCANEO DIREITO","ECO Doppler Pé","ECO","Pé","","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECODOPPLER PE DIREITO; ECODOPPLER ANTEPE DIREITO; ECODOPPLER CALCANEO DIREITO"
"119","ECODOPPLER PE ESQUERDO | ECODOPPLER ANTEPE ESQUERDO | ECODOPPLER CALCANEO ESQUERDO","ECO Doppler Pé","ECO","Pé","","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECODOPPLER PE ESQUERDO; ECODOPPLER ANTEPE ESQUERDO; ECODOPPLER CALCANEO ESQUERDO"
"120","ECODOPPLER PENIANO","ECO Doppler Pênis","ECO","Pênis","","","","","SIM",""
"121","ECODOPPLER QUADRIL DIREITO | ECODOPPLER BOLSA TROCANTERICA DIREITA (MUSCULO QUADRIL)","ECO Doppler Quadril","ECO","Quadril","","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECODOPPLER QUADRIL DIREITO; ECODOPPLER BOLSA TROCANTERICA DIREITA (MUSCULO QUADRIL)"
"122","ECODOPPLER QUADRIL ESQUERDO | ECODOPPLER BOLSA TROCANTERICA ESQUERDA (MUSCULO QUADRIL)","ECO Doppler Quadril","ECO","Quadril","","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ECODOPPLER QUADRIL ESQUERDO; ECODOPPLER BOLSA TROCANTERICA ESQUERDA (MUSCULO QUADRIL)"
"123","ECODOPPLER REGIAO INGUINAL DIREITA ( HERNIA)","ECO Doppler Região Inguinal (Hérnia)","ECO","Região Inguinal (Hérnia)","","DIREITO","","","SIM",""
"124","ECODOPPLER REGIAO INGUINAL ESQUERDA (HERNIA)","ECO Doppler Região Inguinal (Hérnia)","ECO","Região Inguinal (Hérnia)","","ESQUERDO","","","SIM",""
"125","ECODOPPLER TIREOIDE","ECO Doppler Tireoide","ECO","Tireoide","","","","","SIM",""
"126","ECODOPPLER TORNOZELO DIREITO","ECO Doppler Tornozelo","ECO","Tornozelo","","DIREITO","","","SIM",""
"127","ECODOPPLER TORNOZELO ESQUERDO","ECO Doppler Tornozelo","ECO","Tornozelo","","ESQUERDO","","","SIM",""
